Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
44;DeAndre' Bembry;SF;27;TOT;56;20;18.3;2.2;3.9;0.561;0.3;0.6;0.417;1.9;3.3;0.589;0.595;0.4;0.6;0.6;0.8;2.2;2.9;1.2;0.9;0.4;0.6;2;5.1
44;DeAndre' Bembry;SF;27;BRK;48;20;19.8;2.5;4.4;0.568;0.3;0.8;0.417;2.2;3.7;0.599;0.603;0.4;0.7;0.6;0.8;2.4;3.2;1.3;1;0.5;0.6;2.2;5.8
44;DeAndre' Bembry;SF;27;MIL;8;0;9.6;0.4;1;0.375;0;0;0;0.4;1;0.375;0.375;0;0;0;0.5;0.9;1.4;0.8;0.3;0;0.1;1.1;0.8
45;D?vis Bert?ns;PF;29;TOT;56;0;14.4;1.8;4.9;0.36;1.4;4.1;0.335;0.4;0.8;0.489;0.5;0.6;0.7;0.9;0.2;1.9;2.1;0.6;0.3;0.2;0.3;1.5;5.6
45;D?vis Bert?ns;PF;29;WAS;34;0;14.7;1.8;5;0.351;1.4;4.2;0.319;0.4;0.8;0.519;0.485;0.8;0.9;0.933;0.2;1.6;1.8;0.5;0.3;0.2;0.4;1.6;5.7
45;D?vis Bert?ns;PF;29;DAL;22;0;13.9;1.8;4.7;0.375;1.4;3.9;0.36;0.4;0.8;0.444;0.524;0.4;0.5;0.8;0.3;2.3;2.5;0.7;0.3;0.3;0.2;1.4;5.3
46;Patrick Beverley;PG;33;MIN;58;54;25.4;3.1;7.5;0.406;1.4;4.2;0.343;1.6;3.3;0.485;0.501;1.7;2.3;0.722;1.1;3.1;4.1;4.6;1.2;0.9;1.3;3;9.2
47;Saddiq Bey;SF;22;DET;82;82;33;5.5;13.9;0.396;2.6;7.4;0.346;2.9;6.4;0.454;0.489;2.6;3.1;0.827;1.3;4.1;5.4;2.8;0.9;0.2;1.2;1.6;16.1
48;Khem Birch;C;29;TOR;55;28;18;1.8;3.6;0.485;0;0.3;0;1.8;3.4;0.522;0.485;1;1.3;0.746;2.2;2.1;4.3;1;0.5;0.5;0.5;1.9;4.5
49;Goga Bitadze;C;22;IND;50;16;14.6;2.6;5;0.52;0.5;1.6;0.288;2.2;3.4;0.628;0.565;1.3;1.9;0.681;1.6;2;3.5;1.1;0.4;0.8;0.9;2.1;7
50;Bismack Biyombo;C;29;PHO;36;3;14.1;2.4;4;0.593;0;0;0;2.4;4;0.593;0.593;1.1;2;0.535;1.8;2.9;4.6;0.6;0.3;0.7;0.7;1.9;5.8
51;Nemanja Bjelica;C;33;GSW;71;0;16.1;2.3;4.8;0.468;0.8;2.1;0.362;1.5;2.7;0.549;0.547;0.8;1.1;0.728;0.9;3.3;4.1;2.2;0.6;0.4;1.2;1.8;6.1
52;Eric Bledsoe;PG;32;LAC;54;29;25.2;3.6;8.7;0.421;0.9;3;0.313;2.7;5.6;0.479;0.475;1.6;2.2;0.761;0.5;2.9;3.4;4.2;1.3;0.4;2.1;1.6;9.9
53;Keljin Blevins;SF;26;POR;31;1;11.3;1.1;3.6;0.306;0.7;2.3;0.292;0.4;1.3;0.333;0.401;0.2;0.4;0.545;0.5;0.9;1.5;0.6;0.4;0;0.5;0.9;3.1
54;Bogdan Bogdanovi?;SG;29;ATL;63;27;29.3;5.4;12.6;0.431;2.7;7.3;0.368;2.7;5.3;0.516;0.537;1.5;1.8;0.843;0.5;3.5;4;3.1;1.1;0.2;1.1;2.1;15.1
55;Bojan Bogdanovi?;PF;32;UTA;69;69;30.9;6.1;13.4;0.455;2.6;6.8;0.387;3.5;6.7;0.524;0.552;3.2;3.8;0.858;0.8;3.4;4.3;1.7;0.5;0;1.7;1.7;18.1
56;Bol Bol;PF;22;DEN;14;0;5.8;1.1;1.9;0.556;0.1;0.3;0.25;1;1.6;0.609;0.574;0.1;0.4;0.4;0.3;1.1;1.4;0.4;0.1;0.1;0.3;0.3;2.4
57;Leandro Bolmaro;SF;21;MIN;35;2;6.9;0.5;1.5;0.315;0.1;0.5;0.278;0.3;1;0.333;0.361;0.3;0.4;0.846;0.5;0.8;1.2;0.6;0.2;0;0.4;0.7;1.4
58;Isaac Bonga;SF;22;TOR;15;0;4.6;0.2;0.9;0.231;0.1;0.3;0.25;0.1;0.6;0.222;0.269;0.3;0.5;0.625;0.3;0.2;0.5;0.3;0.5;0.1;0.1;0.7;0.8
59;Devin Booker;SG;25;PHO;68;68;34.5;9.7;20.9;0.466;2.7;7;0.383;7;13.9;0.508;0.53;4.6;5.3;0.868;0.7;4.4;5;4.8;1.1;0.4;2.4;2.6;26.8
60;Brandon Boston Jr.;SG;20;LAC;51;0;14.9;2.5;6.4;0.385;0.7;2.2;0.306;1.8;4.2;0.425;0.437;1.2;1.4;0.819;0.3;1.8;2.2;1;0.5;0.3;0.6;0.8;6.7
61;Chris Boucher;PF;29;TOR;80;9;21.1;3.4;7.2;0.464;0.9;2.9;0.297;2.5;4.4;0.575;0.523;1.9;2.4;0.777;2.2;3.9;6.2;0.3;0.6;0.9;0.5;2.2;9.4
62;James Bouknight;SG;21;CHO;31;0;9.8;1.6;4.5;0.348;0.5;1.6;0.347;1;3;0.348;0.408;0.9;1;0.871;0.7;1;1.7;0.8;0.2;0;0.5;0.9;4.6
63;Avery Bradley;SG;31;LAL;62;45;22.7;2.4;5.6;0.423;1.3;3.4;0.39;1.1;2.3;0.471;0.54;0.3;0.3;0.889;0.5;1.7;2.2;0.8;0.9;0.1;0.6;1.9;6.4
64;Tony Bradley;C;24;CHI;55;7;10;1.3;2.2;0.585;0;0;0;1.3;2.2;0.585;0.585;0.3;0.5;0.655;1.2;2.2;3.4;0.5;0.2;0.6;0.6;1.1;3
65;Ignas Brazdeikis;SF;23;ORL;42;1;12.8;1.9;4.5;0.431;0.6;2.1;0.31;1.3;2.4;0.535;0.503;0.5;0.8;0.656;0.5;1.2;1.7;0.9;0.2;0.1;0.4;1.1;5
66;Mikal Bridges;SF;25;PHO;82;82;34.8;5.6;10.5;0.534;1.4;3.8;0.369;4.2;6.7;0.628;0.601;1.6;1.9;0.834;0.9;3.3;4.2;2.3;1.2;0.4;0.8;1.8;14.2
67;Miles Bridges;PF;23;CHO;80;80;35.5;7.5;15.2;0.491;1.9;5.8;0.331;5.5;9.4;0.59;0.554;3.3;4.2;0.802;1.1;5.9;7;3.8;0.9;0.8;1.9;2.4;20.2
68;Oshae Brissett;SF;23;IND;67;25;23.3;3.1;7.6;0.411;1.2;3.5;0.35;1.9;4;0.465;0.493;1.7;2.4;0.695;1.6;3.7;5.3;1.1;0.7;0.4;0.8;1.7;9.1
69;Malcolm Brogdon;PG;29;IND;36;36;33.5;6.8;15.1;0.448;1.6;5.2;0.312;5.1;9.9;0.518;0.501;4;4.6;0.856;0.9;4.2;5.1;5.9;0.8;0.4;2.1;2;19.1
70;Armoni Brooks;SG-PG;23;TOT;54;11;15.6;1.8;5.4;0.339;1.4;4.6;0.297;0.4;0.7;0.6;0.467;0.3;0.4;0.857;0.4;1.5;1.9;1.1;0.5;0.2;0.5;1.4;5.3
70;Armoni Brooks;SG;23;HOU;41;8;16.8;2.1;6.1;0.347;1.6;5.2;0.3;0.6;0.9;0.605;0.474;0.4;0.5;0.842;0.3;1.7;2;1.2;0.5;0.2;0.6;1.5;6.2
70;Armoni Brooks;PG;23;TOR;13;3;11.8;0.8;2.9;0.289;0.8;2.8;0.278;0.1;0.2;0.5;0.421;0.2;0.2;1;0.6;1.1;1.7;1;0.5;0.2;0.3;1.1;2.6
71;Dillon Brooks;SF;26;MEM;32;31;27.7;7.1;16.4;0.432;1.4;4.7;0.309;5.7;11.8;0.48;0.475;2.8;3.3;0.849;0.9;2.3;3.2;2.8;1.1;0.3;1.6;3.3;18.4
72;Bruce Brown;SF;25;BRK;72;45;24.6;3.6;7;0.506;0.5;1.3;0.404;3;5.7;0.529;0.543;1.3;1.8;0.758;1.4;3.4;4.8;2.1;1.1;0.7;0.8;2.4;9
73;Charlie Brown Jr.;SG;24;TOT;22;2;8;0.5;1.8;0.256;0;0.5;0.083;0.4;1.2;0.333;0.269;0.4;0.5;0.9;0.6;0.8;1.5;0.3;0.5;0.2;0.2;0.8;1.4
73;Charlie Brown Jr.;SG;24;DAL;3;0;5;0.3;1.7;0.2;0;1;0;0.3;0.7;0.5;0.2;0;0;0;0;0.3;0.3;0.3;0.7;0.3;0;0.7;0.7
73;Charlie Brown Jr.;SG;24;PHI;19;2;8.5;0.5;1.8;0.265;0.1;0.5;0.111;0.4;1.3;0.32;0.279;0.5;0.5;0.9;0.7;0.9;1.6;0.3;0.4;0.2;0.3;0.8;1.5
74;Chaundee Brown Jr.;SG-SF;23;TOT;5;2;20.8;2;6.4;0.313;1.2;3.6;0.333;0.8;2.8;0.286;0.406;1;1.2;0.833;0.2;3;3.2;0.8;0.4;0;0.2;1.4;6.2
74;Chaundee Brown Jr.;SF;23;LAL;2;0;10.5;0.5;3.5;0.143;0;1.5;0;0.5;2;0.25;0.143;0;0;0;0;1;1;0;0;0;0.5;0;1
74;Chaundee Brown Jr.;SG;23;ATL;3;2;27.7;3;8.3;0.36;2;5;0.4;1;3.3;0.3;0.48;1.7;2;0.833;0.3;4.3;4.7;1.3;0.7;0;0;2.3;9.7
75;Greg Brown III;SF;20;POR;48;6;13.3;1.7;4;0.426;0.4;1.3;0.311;1.3;2.7;0.481;0.476;0.9;1.4;0.677;0.8;2;2.8;0.7;0.5;0.5;0.8;1.9;4.7
76;Jaylen Brown;SF;25;BOS;66;66;33.6;8.7;18.4;0.473;2.5;7;0.358;6.2;11.4;0.544;0.541;3.7;4.8;0.758;0.8;5.3;6.1;3.5;1.1;0.3;2.7;2.5;23.6
77;Moses Brown;C;22;TOT;40;6;8.6;1.6;2.7;0.593;0;0;0;1.6;2.7;0.593;0.593;1.1;1.8;0.597;1;2.4;3.4;0;0.2;0.4;0.5;1.3;4.3
77;Moses Brown;C;22;DAL;26;1;6.5;1;1.9;0.54;0;0;0;1;1.9;0.54;0.54;1;1.7;0.628;0.6;1.7;2.3;0;0.1;0.3;0.5;1.1;3.1
77;Moses Brown;C;22;CLE;14;5;12.6;2.6;4.1;0.638;0;0;0;2.6;4.1;0.638;0.638;1.1;2.1;0.552;1.6;3.6;5.3;0;0.3;0.5;0.4;1.8;6.4
78;Sterling Brown;SG;26;DAL;49;3;12.8;1.2;3.2;0.381;0.6;1.9;0.304;0.6;1.3;0.492;0.471;0.3;0.3;0.933;0.5;2.5;3;0.7;0.3;0.1;0.5;1.1;3.3
79;Troy Brown Jr.;SF;22;CHI;66;7;16;1.6;3.9;0.419;0.7;2;0.353;0.9;1.9;0.488;0.51;0.3;0.4;0.769;0.6;2.5;3.1;1;0.5;0.1;0.4;0.9;4.3
80;Jalen Brunson;PG;25;DAL;79;61;31.9;6.4;12.8;0.502;1.2;3.2;0.373;5.2;9.6;0.545;0.549;2.3;2.7;0.84;0.5;3.4;3.9;4.8;0.8;0;1.6;1.9;16.3
81;Thomas Bryant;C;24;WAS;27;9;16.3;2.9;5.5;0.52;0.4;1.6;0.286;2.4;3.9;0.613;0.561;1.3;1.5;0.875;1;3;4;0.9;0.2;0.8;0.7;1.6;7.4
82;Shaq Buchanan;PG;25;MEM;2;0;5;0.5;2;0.25;0;1;0;0.5;1;0.5;0.25;0;0;0;0.5;0.5;1;1;0.5;0;1;0.5;1
83;Reggie Bullock;SF;30;DAL;68;37;28;3;7.4;0.401;2.1;5.8;0.36;0.9;1.6;0.55;0.542;0.6;0.7;0.833;0.5;3.1;3.5;1.2;0.6;0.2;0.6;1.6;8.6
84;Trey Burke;PG;29;DAL;42;0;10.5;2;5.1;0.391;0.6;2;0.317;1.4;3.2;0.436;0.451;0.5;0.5;0.87;0.1;0.7;0.8;1.4;0.3;0;0.6;0.9;5.1
85;Alec Burks;SG;30;NYK;81;44;28.6;3.5;9;0.391;1.9;4.8;0.404;1.6;4.2;0.378;0.499;2.7;3.3;0.822;0.6;4.3;4.9;3;1;0.3;1.1;2.7;11.7
86;Jared Butler;SG;21;UTA;42;1;8.6;1.5;3.6;0.404;0.7;2.1;0.318;0.8;1.5;0.524;0.497;0.3;0.4;0.688;0.1;1;1.1;1.5;0.4;0.2;0.8;1.1;3.8
87;Jimmy Butler;SF;32;MIA;57;57;33.9;7;14.5;0.48;0.5;2;0.233;6.5;12.5;0.52;0.496;6.9;8;0.87;1.8;4.1;5.9;5.5;1.6;0.5;2.1;1.5;21.4
88;Devontae Cacok;PF;25;SAS;15;0;8.1;1.4;2.1;0.677;0;0;0;1.4;2.1;0.677;0.677;0.3;0.5;0.571;0.5;2.3;2.8;0.4;0.5;0.5;0.2;1.1;3.1
89;Kentavious Caldwell-Pope;SG;28;WAS;77;77;30.2;4.7;10.8;0.435;2.1;5.3;0.39;2.6;5.5;0.48;0.531;1.8;2;0.89;0.5;2.9;3.4;1.9;1.1;0.3;1.3;1.8;13.2
90;Facundo Campazzo;PG;30;DEN;65;4;18.2;1.6;4.6;0.361;0.9;3;0.301;0.8;1.6;0.476;0.459;0.9;1.2;0.769;0.4;1.4;1.8;3.4;1;0.4;1;1.9;5.1
91;Vlatko ?an?ar;PF;24;DEN;15;1;11.7;1.5;2.7;0.561;0.5;0.8;0.583;1.1;1.9;0.552;0.646;0.6;0.9;0.643;0.5;1.5;2.1;1.1;0.1;0.2;0.6;1.2;4.1
92;Devin Cannady;PG;25;ORL;5;0;29;3;8.8;0.341;3;7.4;0.405;0;1.4;0;0.511;1;1.4;0.714;0.2;1;1.2;2;1;0.6;1;1.8;10
93;Clint Capela;C;27;ATL;74;73;27.6;5;8.2;0.613;0;0;0;5;8.1;0.614;0.613;1.1;2.3;0.473;3.8;8.1;11.9;1.2;0.7;1.3;0.6;2.2;11.1
94;Vernon Carey Jr.;C;20;TOT;7;1;6.3;1;1.9;0.538;0;0;0;1;1.9;0.538;0.538;0.9;1.9;0.462;1.1;0.6;1.7;0;0.3;0.1;0.4;0.6;2.9
94;Vernon Carey Jr.;C;20;CHO;4;1;4.3;0.8;1.5;0.5;0;0;0;0.8;1.5;0.5;0.5;0.5;0.8;0.667;0.8;0.5;1.3;0;0.3;0;0.3;0.3;2
94;Vernon Carey Jr.;C;20;WAS;3;0;9;1.3;2.3;0.571;0;0;0;1.3;2.3;0.571;0.571;1.3;3.3;0.4;1.7;0.7;2.3;0;0.3;0.3;0.7;1;4
95;Jevon Carter;PG;26;TOT;66;3;13.7;1.5;3.8;0.387;1;2.6;0.388;0.5;1.3;0.386;0.518;0.2;0.3;0.833;0.2;1.5;1.7;1.5;0.4;0.2;0.5;1;4.2
95;Jevon Carter;PG;26;BRK;46;1;12;1.3;3.8;0.333;0.9;2.8;0.331;0.3;1;0.34;0.454;0.2;0.2;0.7;0.2;1.3;1.5;1;0.3;0.2;0.6;1;3.6
95;Jevon Carter;PG;26;MIL;20;2;17.7;2;4;0.506;1.2;2.2;0.558;0.8;1.8;0.444;0.658;0.4;0.4;1;0.3;1.9;2.2;2.5;0.5;0.2;0.4;1.1;5.6
96;Wendell Carter Jr.;C;22;ORL;62;61;29.9;5.8;11;0.525;1.1;3.5;0.327;4.7;7.6;0.615;0.576;2.3;3.3;0.691;2.2;8.2;10.5;2.8;0.6;0.7;1.9;2.7;15
97;Alex Caruso;SG;27;CHI;41;18;28;2.5;6.2;0.398;1;3.1;0.333;1.5;3.2;0.462;0.48;1.4;1.8;0.795;0.8;2.8;3.6;4;1.7;0.4;1.4;2.6;7.4
98;Willie Cauley-Stein;C;28;TOT;20;2;9.2;0.8;1.8;0.457;0.1;0.1;0.5;0.8;1.7;0.455;0.471;0.1;0.1;0.5;0.7;1.4;2;0.5;0.3;0.2;0.4;1;1.7
98;Willie Cauley-Stein;C;28;DAL;18;2;9.8;0.9;1.9;0.457;0.1;0.1;0.5;0.8;1.8;0.455;0.471;0.1;0.1;0.5;0.7;1.4;2.1;0.5;0.3;0.2;0.4;0.9;1.9
98;Willie Cauley-Stein;C;28;PHI;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0.5;0;0;0;1;0
99;Ahmad Caver;PG;25;IND;1;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2
100;Justin Champagnie;SF;20;TOR;36;0;7.8;0.9;1.9;0.463;0.3;0.8;0.357;0.6;1.1;0.538;0.537;0.3;0.3;1;1;1;2;0.3;0.2;0.1;0.2;0.9;2.3
