Gene_Name,Control 1,Control 2,Experimental 1,Experimental 2,Control3,Control4,Control5,Control6,Control7,Experimental10,Expeirmental11,Exp12,Exp13,Exp14,Exp15,Exp16,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22
Fam150a,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10,57,42,9,10
St18,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1
Pcmtd1,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693,654,569,1260,1693
Sntg1,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14,1,2,10,14
Rrs1,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371,1827,1646,1771,2371
Adhfe1,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15,3,6,10,15
2610203C22Rik,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12,4,0,8,12
3110035E14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sgk3,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41,73,75,28,41
Mcmdc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snhg6,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437,1000,796,1095,1437
Snord87,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11,15,3,5,11
Ppp1r42,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Cops5,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361,2447,2182,2809,3361
Cspp1,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495,301,238,362,495
Arfgef1,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413,2258,1884,2656,3413
Cpa6,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76,52,28,74,76
Mir467e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prex2,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215,146,142,143,215
A830018L16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulf1,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584,1615,1343,2942,3584
Slco5a1,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76,85,68,53,76
Prdm14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ncoa2,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064,975,965,1413,2064
Tram1,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674,7031,5920,6529,8674
Lactb2,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042,342,298,860,1042
Xkr9,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2
Gm5523,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10,8,4,11,10
Eya1,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9,6,9,1,9
Msc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trpa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcnb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sbspon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930444P10Rik,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Rdh10,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494,676,673,369,494
Stau2,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653,348,290,473,653
Ube2w,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932,1088,847,1513,1932
Tceb1,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549,2528,2287,2727,3549
D030040B21Rik,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6,6,4,6,6
Tmem70,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981,1790,1636,1562,1981
Ly96,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140,89,70,111,140
Jph1,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356,326,288,321,356
Gdap1,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4
Pi15,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445,575,453,322,445
Crispld1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1
6720483E21Rik,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2
Paqr8,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494,238,231,364,494
Efhc1,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93,61,47,80,93
Tram2,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211,143,94,132,211
Tmem14a,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66,18,19,45,66
Gsta3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcnq5,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127,74,64,107,127
Rims1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4933415F23Rik,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2
Mir30a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ogfrl1,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871,333,256,646,871
B3gat2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
Smap1,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305,1185,1071,1784,2305
1110058L19Rik,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409,231,214,339,409
Fam135a,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755,801,670,1362,1755
Col9a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col19a1,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4
Lmbrd1,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201,579,490,1002,1201
Gm597,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1
Phf3,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405,2975,2455,4345,5405
Ptp4a1,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263,164,133,205,263
Khdrbs2,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112,0,0,79,112
Gm9839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prim2,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499,1573,1416,2016,2499
1700001G17Rik,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11,11,8,6,11
Rab23,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144,751,629,902,1144
Bag2,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598,2431,2234,2717,3598
Zfp451,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872,567,456,673,872
