Country,Population
Lesotho,"2,330,318"
Guinea-Bissau,"2,150,842"
Slovenia,"2,119,675"
North Macedonia,"2,085,679"
Latvia,"1,830,211"
Equatorial Guinea,"1,714,671"
Trinidad and Tobago,"1,534,937"
Bahrain,"1,485,509"
Timor-Leste,"1,360,596"
Estonia,"1,322,765"
Mauritius,"1,300,557"
Cyprus,"1,260,138"
Eswatini,"1,210,822"
Djibouti,"1,136,455"
Réunion,"981,796"
Fiji,"936,375"
Comoros,"852,075"
Guyana,"813,834"
Bhutan,"787,424"
Solomon Islands,"740,424"
Macao,"704,149"
Luxembourg,"654,768"
Montenegro,"626,485"
Suriname,"623,236"
Cabo Verde,"598,682"
Western Sahara,"587,259"
Micronesia,"544,321"
Malta,"535,064"
Maldives,"521,021"
Brunei,"452,524"
Bahamas,"412,623"
Belize,"410,825"
Guadeloupe,"395,839"
Iceland,"375,318"
Martinique,"366,981"
Mayotte,"335,995"
Vanuatu,"334,506"
French Guiana,"312,155"
French Polynesia,"308,872"
New Caledonia,"292,991"
Barbados,"281,995"
Sao Tome & Principe,"231,856"
Samoa,"225,681"
Curaçao,"192,077"
Saint Lucia,"180,251"
Guam,"172,952"
Kiribati,"133,515"
Grenada,"126,183"
Tonga,"107,773"
Seychelles,"107,660"
Aruba,"106,277"
St. Vincent & Grenadines,"103,698"
U.S. Virgin Islands,"98,750"
Antigua and Barbuda,"94,298"
Isle of Man,"84,710"
Andorra,"80,088"
Dominica,"73,040"
Cayman Islands,"69,310"
Bermuda,"64,069"
Greenland,"56,643"
Faeroe Islands,"53,270"
Northern Mariana Islands,"49,796"
Saint Kitts & Nevis,"47,755"
Turks and Caicos,"46,062"
Sint Maarten,"44,222"
American Samoa,"43,914"
Marshall Islands,"41,996"
Liechtenstein,"39,584"
Monaco,"36,297"
San Marino,"33,642"
Gibraltar,"32,688"
Saint Martin,"32,077"
British Virgin Islands,"31,538"
Caribbean Netherlands,"27,148"
Palau,"18,058"
Cook Islands,"17,044"
Anguilla,"15,899"
Nauru,"12,780"
Wallis & Futuna,"11,502"
Tuvalu,"11,396"
Saint Barthelemy,"10,994"
Saint Pierre & Miquelon,"5,840"
Saint Helena,"5,314"
Montserrat,"4,386"
Falkland Islands,"3,791"
Niue,"1,935"
Tokelau,"1,893"
Holy See,518
